"id","tweet","label"
"48","Wankhede Stadium is hosting the maximum number of matches in IPL 2025.","neutral"
"49","PBKS confirmed their playing XI for tomorrow match via official Twitter handle.","neutral"
"50","IPL 2025 prize money details were released by BCCI last week.","neutral"
"51","Net run rate of all teams updated after today two matches.","neutral"
"52","IPL 2025 squads include players from 15 different countries this season.","neutral"
"53","The Impact Player rule continues in IPL 2025 for the third consecutive year.","neutral"
"54","Match 42 of IPL 2025 ended in a Super Over after scores were tied.","neutral"
"55","Jasprit Bumrah bowling figures today were 4 overs 28 runs and 2 wickets.","neutral"
"56","Gujarat Titans released their retained player list in early December 2024.","neutral"
"57","CSK vs RR match to be played at the MA Chidambaram Stadium on Sunday.","neutral"
"58","IPL 2025 has an overall attendance of over 2 million across all venues so far.","neutral"
"59","SRH head coach announced the team strategy for the upcoming playoff matches.","neutral"
"60","The IPL 2025 theme song was released on official YouTube channels last month.","neutral"
"61","IPL 2025 is just a money-making machine. Players do not care about quality cricket.","negative"
"62","Too many mediocre matches this season. IPL has lost its charm completely.","negative"
"63","The pitches in IPL 2025 are absolute dustbowls. Not conducive to good cricket at all.","negative"
"64","Scheduling is a mess in IPL 2025. Back-to-back matches are unfair to players.","negative"
"65","Umpiring in IPL 2025 has been terrible. So many wrong decisions ruining matches!","negative"
"66","Why is IPL 2025 not being taken seriously by foreign players? Half the stars withdrew!","negative"
"67","Ticket prices for IPL 2025 are outrageously high. The common fan cannot afford it.","negative"
"68","The overcommercialization of IPL 2025 is disgusting. Too many ads ruining the experience.","negative"
"69","RCB fans are heartbroken again. Same old story different year.","negative"
"70","The broadcasting quality of JioCinema for IPL 2025 has been awful. Constant buffering!","negative"
"71","IPL 2025 is promoting bad cricket. Batsmen slogging mindlessly with no skill at all.","negative"
"72","Terrible pitch at Chepauk making IPL 2025 matches boring and one-sided affairs.","negative"
"73","The standard of fielding in IPL 2025 has dropped significantly compared to previous years.","negative"
"74","IPL 2025 playing schedule is grueling. Players are clearly fatigued and injury prone.","negative"
"75","Corruption allegations surrounding IPL 2025 are deeply worrying for Indian cricket.","negative"
"76","Another poor performance by DC. They look completely clueless in IPL 2025.","negative"
"77","The pitches are being doctored to help home teams in IPL 2025. Not fair play.","negative"
"78","IPL 2025 is ruining Test cricket in India. Players are losing their technique badly.","negative"
"79","Disappointed with MI performance in IPL 2025. They look like a completely different team.","negative"
"80","Noise and chaos in IPL 2025 stadiums is ruining the experience for genuine cricket fans.","negative"
"81","IPL 2025 is all hype and no substance. The cricket quality has declined sharply.","negative"
"82","BCCI handling of IPL 2025 has been shambolic. So many poor decisions made.","negative"
"83","Players are clearly tired in IPL 2025. Too many matches in too short a time!","negative"
"84","The constant rain interruptions in IPL 2025 are ruining the momentum of the tournament.","negative"
"85","So many easy catches being dropped in IPL 2025. Fielding standards are shocking!","negative"
"86","IPL 2025 pitches are too batting friendly. Bowlers have no chance at all.","negative"
"87","Why are promising young Indian players not getting enough opportunities in IPL 2025?","negative"
"88","The DRS system in IPL 2025 has been inconsistent and unreliable throughout the season.","negative"
"89","Fan parks for IPL 2025 are overcrowded and poorly managed. Very bad experience overall.","negative"
"90","Broadcasting rights issues are causing IPL 2025 to be unavailable in many countries.","negative"
"91","IPL 2025 match between SRH and RR was an absolute thriller! Goes into top 5 matches ever!","positive"
"92","Brilliant team effort from Punjab Kings today. Everyone contributed significantly!","positive"
"93","What a comeback by CSK! Down by 60 runs and still won it! Incredible team spirit!","positive"
"94","Young Yashasvi Jaiswal is the revelation of IPL 2025. Future of Indian batting!","positive"
"95","KKR fans are the most passionate in IPL. The Eden Gardens atmosphere is unreal!","positive"
"96","IPL 2025 has exceeded all expectations in terms of quality and entertainment!","positive"
"97","The production quality of IPL 2025 broadcasts is world class. Stunning camera angles!","positive"
"98","Arshdeep Singh death bowling is outstanding in IPL 2025. What a find for PBKS!","positive"
"99","IPL 2025 is definitely the most competitive season in the tournament history!","positive"
"100","What a wonderful tournament IPL 2025 has been so far. Pure joy for cricket fans everywhere!","positive"
